题目ID,原GPT裁定档,修订后主标签,可接受等级,复核状态,修订后置信度,教师标准档,初次盲评档,复核依据,复核证据来源,题干,选项,官方解析,题目图片URL,解析图片URL,结构_步骤,结构_题型,结构_状态,结构_约束,结构_实验,结构_图表,结构_推理
3659088702582308864,中等题,中等题,中等题|拔高题,保留主标签；相邻双档均可,中,拔高题,中等题,最高难任务在光路、成像条件与几何关系中包含图线反推、状态转换、误差评价、几何/等效转换、方程联立或参数反求等决定性卡点，整体约5—6个有效决策；尚未形成压轴所需的完整复杂约束网络。,三次运行错题并集逐题复核,北京天坛是著名的声学建筑奇观，天坛回音壁是一堵圆形高墙，在其内部，东西配殿对称分布在黄穹宇中轴线的两侧，三音石位于回音壁的圆心位置，图甲为其俯视图。当人在三音石中心P点处击掌，可以听到三个或更多清晰的回声，故名“三音石”。 某研究团队在一安静时段，于P点处击掌，通过仪器记录P点处接收到的声音信息，如图乙所示。请回答下列问题：,,,https://k12static.xdf.cn/k12/image/externalized/da39883d-b66f-4889-b90d-e63ac6437ff6.png,https://k12static.xdf.cn/k12/image/externalized/07d9dc14-fd8e-4b04-b789-ca964d481446.png,1-2步,光学声学综合,单状态,无约束,无,无,简单因果推理
3661879842635517952,送分题,送分题,送分题|基础题,保留主标签；相邻双档均可,中,送分题,基础题,最高难任务属于教材概念与常规物理关系中的1—2步直接应用、规范操作或简单因果判断。需要理解/应用而非纯识记，但没有共享中间结论、完整连续过程或隐含转换。,三次运行错题并集逐题复核,"如图所示为非物质文化遗产“茶百戏”,又称“水丹青”,是一种用清水在茶汤悬浮液的表面绘制图案的技艺。茶水烧开后,艺人关小火继续加热,锅内水沸腾的程度变小了,燃气燃烧释放的热量减少，此时燃气的热值 (选填“变大”“变小”或“不变”)。关火后绘制图案时，满屋飘香，表明分子在 。",,热值是燃料的特性，其大小只与燃料的种类有关，与燃烧是否充分、释放热量多少无关，关小火加热时，燃气燃烧释放的热量减少，但燃气的热值不变； 绘制图案时满屋飘香是因为分子在不停地做无规则运动。,https://k12static.xdf.cn/k12/image/externalized/8f839f4e-9834-4f70-a21b-bcfba7f578a1.png,https://k12static.xdf.cn/k12/image/externalized/5826244a-0124-4bbd-a2c3-5e162406579e.png,1-2步,概念判断,单状态,无约束,无,无,直接套用
3665218973699756032,基础题,基础题,送分题|基础题,保留主标签；相邻双档均可,中,基础题,送分题,最高难任务为1—2步显性应用、规范操作或简单因果，没有连续模型转换。 题目证据：最长连续链为1个有效物理决策，五维锚定结果为基础档。核心任务是直接调用流体压强与流速的关系，将给定的流速大小关系对应到压强大小关系，模型完全显性，无多过程或多约束分析。,三次运行错题并集逐题复核,如图是某新型电吹风的风路示意图，空气被吸进内部风道，由出气口高速喷出。图中各点风速大小满足$v_{a}> v_{b}> v_{c}> v_{d}$，其中气体压强最大的是（ ）,A. a点 B. b点 C. c点 D. d点,在流体中，流速越小的位置，压强越大；流速越大的位置，压强越小；图中各点风速大小满足$v_{a}> v_{b}> v_{c}> v_{d}$，即d点流速最小，因此压强最大，故选D。,https://k12static.xdf.cn/k12/image/externalized/d60f1afd-0fd6-4063-a795-1638b1b70b4e.png,https://k12static.xdf.cn/k12/image/externalized/3e129b0b-ebf5-4e14-8b31-7e54d40cc612.png,1-2步,概念判断,单状态,无约束,无,无,简单因果推理
3665219145129349120,中等题,中等题,中等题|拔高题,保留主标签；相邻双档均可,中,中等题,拔高题,最高问通过三次称量和体积变化分别推导二氧化碳与空气密度表达式，需识别排开空气质量这一隐含关系，属于实验设计与等效反推的拔高任务。,三次运行错题并集逐题复核,冷链物流公司常用干冰（固态二氧化碳）保存冷冻食品，某同学利用干冰开展了以下研究。,,,https://k12static.xdf.cn/k12/image/externalized/e2012dfc-bfc2-46b9-a6d6-93e12fbb7070.png,https://k12static.xdf.cn/k12/image/externalized/daa9cfc3-559b-4989-b077-fb4a79c4807d.png,3-5步,实验探究,单状态,单一约束,无,直接读数,多层因果推理
3672832361842675712,中等题,中等题,中等题|拔高题,保留主标签；相邻双档均可,中,中等题,中等题,存在约3—4步常规连续分析、共享过程或完整标准实验任务，关系仍显性。 题目证据：最高难小问（第三问）实际有效物理决策约3步，五维锚定在基础/中等区间；整题多问层层递进，前两问为基础计算，第三问涉及浸入深度、重力变化与警戒水位的关联分析，无决定性转换或全链耦合。任务台账：1. 研究对象B，调用结论F压=F浮-GB；2. 分析B高度变化引起的重力、所需浮力、浸入深度的变化关系；3. 比较高度增加量与浸入深度增加量的大小，得出警戒水位变化结论。,三次运行错题并集逐题复核,科创小组设计了水库自动泄洪控制装置，其简易模型如图所示：$\mathrm{A}$为压力传感器，$\mathrm{B}$为密度小于水且不吸水的实心均匀圆柱体，并可在管径稍大的竖直管道内自由地上下移动，其质量为2.5kg，高度为0.4m，底面积为$0.01\mathrm{m}^{2}$。圆柱体$\mathrm{B}$放置在模型底板上，此时水位恰与圆柱体$\mathrm{B}$底面平齐，水位离压力传感器$\mathrm{A}$底端的距离为1m。当压力传感器受到的压力达到设定值时触发预警，原设计中触发时圆柱体B刚好全部浸没，压力传感器触发预警并自动打开出水口进行泄洪。（$g$取$10\mathrm{N}/\mathrm{kg}$）,,,https://k12static.xdf.cn/k12/image/externalized/91199e8a-708e-4138-b0f2-4eb04563f2b7.png,https://k12static.xdf.cn/k12/image/externalized/0c38f4ce-891b-4da0-9af6-af8e01976af8.png,3-5步,力学综合,双状态,单一约束,无,无,多层因果推理
3673088780818554880,送分题,送分题,送分题|基础题,保留主标签；相邻双档均可,中,基础题,送分题,两个空分别考查分子间隔变化和分子间作用力，调用两条不同教材结论；局部简单但不再是唯一模板，基础题更合适。,三次运行错题并集逐题复核,用肥皂膜套在空瓶口上(瓶中为空气)，然后把瓶子放在盛有热水的容器中，其变化如图所示。将瓶子放入热水后，瓶内气体分子的 （选填“体积”或“间隔”）变大。肥皂膜没有破裂，说明了分子之间存在 。,,将瓶子放入热水后，瓶内气体温度升高，分子热运动加剧，分子间的间隔变大，而分子本身的体积不变。 肥皂膜受热膨胀拉伸但没有破裂，说明肥皂膜分子之间存在相互作用的引力。,https://k12static.xdf.cn/k12/image/externalized/17924127-9567-4a4f-b5cc-713590153a84.png,https://k12static.xdf.cn/k12/image/externalized/9d0f16dd-94ae-4902-9ae6-6c4de1eee6a2.png,1-2步,概念判断,单状态,无约束,无,无,直接套用
3673096986324992000,基础题,基础题,基础题|中等题,保留主标签；相邻双档均可,中,中等题,基础题,最高难任务为1—2步显性应用、规范操作或简单因果，没有连续模型转换。 题目证据：四个独立小题均为单个实验知识点的直接识别，最长连续链仅1步有效决策；五维中知识量虽然覆盖四个不同实验，但每个小题均为单一基础概念，过程/对象均为单状态，无计算，情境为教材标准实验原型，思维层次为识记再现；各小题相互独立，均为教材实验基础事实的直接检索。,三次运行错题并集逐题复核,亲爱的同学，请你运用所学的物理知识解答下列问题。,,,https://k12static.xdf.cn/k12/image/externalized/dc96d932-6ac7-4095-ac1a-1638bd1a2052.png,https://k12static.xdf.cn/k12/image/externalized/bfbb62d3-bc25-4faa-b6a9-fba1aa5d904e.png,1-2步,实验探究,单状态,无约束,基础操作或读数,直接读数,直接套用
3673861217903460352,拔高题,拔高题,中等题|拔高题,保留主标签；相邻双档均可,中,压轴题,拔高题,存在决定性反推/等效/误差/几何转换，或同一装置中的5—6步高密度综合链。 题目证据：最高难小问实际有效物理决策约5步。五维中知识量为2-3个关联力学知识点，过程/对象为两个连续状态，数学工具为多公式串联计算，情境为经典打捞模型无额外理解难度，思维层次为综合分析，初判进入拔高区间。整题三个小问层层递进，后两问均依赖前一问的结果，最长连续链需要先完成漂浮水杯浮力计算、正方体边长与上表面压力计算，再对取出铁砂后的受力平衡进行分析，推导正方体重力和密度，核心存在一个关键的受力平衡转换，即明确取出铁砂后水杯排开体积不变浮力不变，结合平衡条件得到细线拉力，再对正方体受力平衡分析得到重力。,三次运行错题并集逐题复核,学习小组模拟怀丙和尚利用浮力打捞铁牛，把正方体M放在架空水槽底部的方孔处（忽略M与水槽的接触面积），往水槽内装入适量的水，水上漂浮着底面积为$2\times 10^{-2}\mathrm{m}^{2}$的水杯，水杯的质量为100 g，水杯中装入质量适中的铁砂时，杯底到M上表面的距离等于M的边长，用细线连接水杯和M，使细线拉直且无拉力，再将铁砂从杯中取出，当铁砂取完后，M恰好可被拉起，完成打捞（$\rho _{\mathrm{水}}=1.0\times 10^{3}\mathrm{kg}/\mathrm{m}^{3}$）,,,https://k12static.xdf.cn/k12/image/externalized/be3c3c77-38d1-402f-9e8f-5c31a2093a37.png,https://k12static.xdf.cn/k12/image/externalized/dbaef1b3-703d-4540-8d31-24edde596231.png,6-8步,力学综合,双状态,多约束,无,无,逆向推理或临界分析
3675930584471379968,中等题,中等题,中等题|拔高题,保留主标签；相邻双档均可,中,中等题,拔高题,需要围绕受力、浮力/压强与状态变化完成常规的3—4个有效决策，或完成一套完整标准实验/共享过程分析。关系仍显性、方法常规，没有决定性隐含转换、复杂边界筛选或多状态强耦合。,三次运行错题并集逐题复核,“奋斗者”号是中国研发的万米载人潜水器。如图甲所示，是“奋斗者”号完成任务出水后，用起重机将重$2.25\times 10^{5}\mathrm{N}$的潜水器吊起，回收到母船上的情形，我们将起吊装置简化为图乙所示的滑轮组。若“奋斗者”号的体积约为$10\mathrm{m}^{3}$，离开水面后吊起时，电动机对钢绳自由端的拉力F为$7.5\times 10^{4}\mathrm{N}$，用时200秒，“奋斗者”号匀速上升了10m。不计绳重及摩擦，$\rho _{\mathrm{水}}=1.0\times 10^{3}\mathrm{kg}/\mathrm{m}^{3}$，$g=10\mathrm{N}/\mathrm{kg}$，求此次回收“奋斗者”号的过程中：,,,https://k12static.xdf.cn/k12/image/externalized/ae7250b5-86ca-4b54-acfc-0ba9664978a0.png,https://k12static.xdf.cn/k12/image/externalized/2e3102db-f046-433f-be20-067ccfcb3c8b.png,3-5步,力学综合,双状态,单一约束,无,无,多层因果推理
3677156677559853056,拔高题,拔高题,中等题|拔高题,保留主标签；相邻双档均可,中,压轴题,拔高题,最高难任务在实验方案、误差/评价或改进任务中包含图线反推、状态转换、误差评价、几何/等效转换、方程联立或参数反求等决定性卡点，整体约5—6个有效决策；尚未形成压轴所需的完整复杂约束网络。,三次运行错题并集逐题复核,考古学家在黄海海域发现甲午海战沉船“致远舰”的消息轰动了整个考古界，随着水下考古工作的进行，一些重要文物近日陆续出水重见天日，关于这艘在海水中沉睡了120余年的战舰是如何被打捞起的谜题也逐步解开。现某课外活动小组，照此设计了如图所示的简单机械，模拟打捞沉船，实验中用实心立方体A代替沉船，已知A的体积为0.1m3，质量为280kg，每个滑轮重600N（设整个过程A均为匀速直线运动状态，忽略钢缆绳重及滑轮摩擦，不考虑风浪、水流等因素的影响，（g取10N/kg，$\rho _{\mathrm{水}}$=1.0×103kg/m3）求：,,,https://k12static.xdf.cn/k12/image/externalized/78415d20-bd94-4470-9686-60f45062739b.png,https://k12static.xdf.cn/k12/image/externalized/af67c3ad-d844-4477-8ec4-b96460bf1590.png,3-5步,力学综合,双状态,单一约束,无,无,多层因果推理
3678675453759729664,中等题,中等题,中等题|拔高题,保留主标签；相邻双档均可,中,中等题,拔高题,最高难任务在图表信息提取与关系反推中包含图线反推、状态转换、误差评价、几何/等效转换、方程联立或参数反求等决定性卡点，整体约5—6个有效决策；尚未形成压轴所需的完整复杂约束网络。,三次运行错题并集逐题复核,如图甲中，固定在铁架台横梁上的弹簧测力计下方悬挂圆柱体，盛有适量水的圆柱形容器放在升降台上。升降台缓慢上升，圆柱体逐渐浸入水中，整个过程中弹簧测力计示数F与升降台上升高度h变化关系的图像如图乙所示。已知$\rho _{\mathrm{水}}=1\times 10^{3}\mathrm{kg}/\mathrm{m}^{3}$，g取10N/kg。下列说法正确的是（ ）,A. 圆柱体受到的重力是8N B. 圆柱体受到的最大浮力是4N C. 圆柱体的密度是$1.5\times 10^{3}\mathrm{kg}/\mathrm{m}^{3}$ D. 当圆柱体刚好全部浸没时、下表面受到水的压强为400Pa,AB．由图乙可知，$h 时，$F=12\mathrm{N}$，则$G=12\mathrm{N}$，$h> 7\mathrm{cm}$时，$F=4\mathrm{N}$，最大浮力$F_{\mathrm{浮}}=G-F=12\mathrm{N}-4\mathrm{N}=8\mathrm{N}$，故AB错误； C．圆柱体质量$m=\dfrac{G}{g}=\dfrac{12\mathrm{N}}{10\mathrm{N}/\mathrm{kg}}=1.2\mathrm{kg}$ 体积$V=V_{\mathrm{排}}=\dfrac{F_{\mathrm{浮}}}{\rho _{\mathrm{水}}g}=\dfrac{8\mathrm{N}}{1\times 10^{3}\mathrm{kg}/\mathrm{m}^{3}\times 10\mathrm{N}/\mathrm{kg}}=8\times 10^{-4}\mathrm{m}^{3}$ 密度$\rho =\dfrac{m}{V}=\dfrac{1.2\mathrm{kg}}{8\times 10^{-4}\mathrm{m}^{3}}=1.5\times 10^{3}\mathrm{kg}/\mathrm{m}^{3}$ ，故C正确； D．升降台上升 $\Delta h=7\mathrm{cm}-3\mathrm{cm}=4\mathrm{cm}=0.04\mathrm{m}$过程中圆柱体完全浸没，因圆柱体排开水使容器内液面升高，圆柱体高度 $H> \Delta h=0.04\mathrm{m}$，刚好浸没时下表面深度 $h_{\mathrm{深}}=H> 0.04\mathrm{m}$压强 $p=\rho _{\mathrm{水}}gh_{\mathrm{深}}> 1\times 10^{3}\mathrm{kg}/\mathrm{m}^{3}\times 10\mathrm{N}/\mathrm{kg}\times 0.04\mathrm{m}=400\mathrm{Pa}$故D错误。 故选 C。,https://k12static.xdf.cn/k12/image/externalized/0f8c661c-7446-4768-99d8-202fee1219db.png,https://k12static.xdf.cn/k12/image/externalized/883586db-635f-4d92-be48-2bb25cf45f8e.png,3-5步,力学综合,双状态,单一约束,无,直接读数,多层因果推理
3678692290750074880,拔高题,拔高题,中等题|拔高题,保留主标签；相邻双档均可,中,压轴题,拔高题,最高难任务在电路状态、图线/参数与安全约束中包含图线反推、状态转换、误差评价、几何/等效转换、方程联立或参数反求等决定性卡点，整体约5—6个有效决策；尚未形成压轴所需的完整复杂约束网络。,三次运行错题并集逐题复核,某小组设计了潜水器模型来模拟“掉深”（进入密度骤降水层急速下沉）及自救过程。模型壳体（含压载铁）质量为6.6kg，总体积为$8.0\times 10^{-3}\mathrm{m}^{3}$，底部压敏传感器$R_{0}$的底面积为$2.0\times 10^{-3}\mathrm{m}^{2}$。当遭遇“掉深”，压力达到压敏电阻的临界值时，系统自动抛弃压载铁紧急上浮。初始测试时，模型漂浮于水面，通过注水调整至恰好悬浮；随后将其放入密度为$0.8\times 10^{3}\mathrm{kg}/\mathrm{m}^{3}$的测试液中进行自救效果检测。（$g\mathrm{取}10\mathrm{N}/\mathrm{kg}$，$\rho _{\mathrm{水}}=1\times 10^{3}\mathrm{kg}/\mathrm{m}^{3}$）求：,,,https://k12static.xdf.cn/k12/image/externalized/76990744-c749-44d6-88d6-5fc4c779638d.png,https://k12static.xdf.cn/k12/image/externalized/af33cb0b-be07-4b4e-9df3-a9851888da4f.png,3-5步,力学综合,单状态,单一约束,无,无,多层因果推理
2139835288467529729,基础题,基础题,基础题,保留原GPT裁定,高,送分题,基础题,题干、解析与结构证据支持基础题：step=1-2步，题型=概念判断，状态=单状态，约束=无约束，推理=简单因果推理。教师、盲评和多次模型证据中未形成足以推翻原裁定的同向结构证据。,未进入三次错题并集；逐题结构一致性复核,关于功和能的关系下列叙述正确的是 $(\qquad)$,A. 具有能量的物体一定在做功 B. 力对物体做了多少功，就一定有多少能量发生了转化 C. 力对物体做功不是能量转化的量度 D. 物体没有对外做功就没有能量转化,A．能量是可以储存的，具有能量的物体不一定在做功，故A错；B．做功的过程就是能量转化的过程，物体做了多少功，就发生了多少能量转换，故B对；C．功是能量转化的量度，故C错；D．可能有其他物体对该物体做功，发生了能量的转化，故D错．故选B． A．能量是可以储存的，具有能量的物体不一定在做功，故A错；B．做功的过程就是能量转化的过程，物体做了多少功，就发生了多少能量转换，故B对；C．功是能量转化的量度，故C错；D．可能有其他物体对该物体做功，发生了能量的转化，故D错．故选B．,https://k12static.xdf.cn/k12/image/externalized/dcbee477-11f8-4619-94f1-380c969b800c.png,https://k12static.xdf.cn/k12/image/externalized/a0ac06c3-93f0-4f3d-bb60-69809bc562ec.png,1-2步,概念判断,单状态,无约束,无,无,简单因果推理
2139836394277801984,中等题,中等题,中等题,逐题复核后保留GPT裁定,高,送分题,中等题,需要围绕力学模型、运动/受力与能量关系完成常规的3—4个有效决策，或完成一套完整标准实验/共享过程分析。关系仍显性、方法常规，没有决定性隐含转换、复杂边界筛选或多状态强耦合。,三次运行错题并集逐题复核,【优能中学原创】（多选）关于静摩擦力，下列说法正确的是$(\qquad)$,A. 运动的物体也可能产生静摩擦力 B. 有相对运动趋势的物体间有可能产生静摩擦力 C. 产生静摩擦力的两个物体间一定相对静止 D. 两个相对静止的物体间一定有静摩擦力产生,本道题侧重对静摩擦力产生条件的考察，首先静摩擦力要求的是相对静止，不是绝对静止，另外静摩擦力产生的条件三者缺一不可，仅仅满足其一是无法产生静摩擦力的．,https://k12static.xdf.cn/k12/image/externalized/cc79c63d-ae88-48c4-a599-21cb38abf9bd.png,https://k12static.xdf.cn/k12/image/externalized/cbfcd918-4deb-4404-8a1b-863aafba3130.png,1-2步,概念判断,单状态,无约束,无,无,简单因果推理
2139846582388686848,基础题,基础题,基础题,保留原GPT裁定,高,送分题,中等题,题干、解析与结构证据支持基础题：step=1-2步，题型=电路综合，状态=单状态，约束=单一约束，推理=简单因果推理。教师、盲评和多次模型证据中未形成足以推翻原裁定的同向结构证据。,未进入三次错题并集；逐题结构一致性复核,如图，请按要求连接实物图．要求：电灯 $\rm L_{1}$、$\rm L_{2}$ 串联，电压表 $\rm V_{1}$ 测量灯 $\rm L_{1}$ 两端的电压，电压表 $\rm V_{2}$ 测量电源两端的电压．并按连接好的实物图在虚线框中画出电路图．,,电压表 $\rm V_{1}$ 测量灯 $\rm L_{1}$ 两端的电压，则电压表 $\rm V_{1}$ 与灯 $\rm L_{1}$ 并联；电压表 $\rm V_{2}$ 测量电源两端的电压，电压表 $\rm V_{2}$ 接在电源两端；由图可知，电源有三节干电池组成，电源电源为 $4.5\ \rm V$，故电压表需要选用大量程；根据电流的路径连接实物图，最后把电压表并联在电路中，电流应从电压表的正接线柱流入，从负接线柱流出；实物图如图所示： 根据实物图画出电路图，如图：,https://k12static.xdf.cn/k12/image/externalized/c46ff4f1-149a-494a-8e00-8d720445c00e.png,https://k12static.xdf.cn/k12/image/externalized/6c6f435c-a604-4007-94a1-5054b736e8de.png,1-2步,电路综合,单状态,单一约束,无,无,简单因果推理
2139854195359092737,基础题,基础题,基础题,逐题复核后保留GPT裁定,高,基础题,基础题,多个空/选项彼此独立，不形成连续链；最高难任务属于教材概念与常规物理关系中的1—2步直接应用、规范操作或简单因果判断。需要理解/应用而非纯识记，但没有共享中间结论、完整连续过程或隐含转换。,三次运行错题并集逐题复核,关于双耳效应，下列说法正确的是$(\qquad)$,A. 利用双耳效应，可以判断声音的大小 B. 利用双耳效应，可以判断声音的远近 C. 利用双耳效应，可以准确判定声音传来的方向 D. 声音从人的正前方或正后方传来时，人耳不易分辨清楚,根据对双耳效应的理解，利用双耳效应可以辨别声源的方向，又因为声音从正前或正后方传来时，声音到达两只耳朵的特征差别几乎没有，所以不易判断清楚。 故AB错、CD正确。 故选：CD。,https://k12static.xdf.cn/k12/image/externalized/3ebd6687-505f-4a2f-99cb-8b3e2615799d.png,https://k12static.xdf.cn/k12/image/externalized/5311bcb5-5be4-4753-9634-1cfe5d0c295e.png,1-2步,概念判断,单状态,无约束,无,无,直接套用
2139859697547743232,中等题,中等题,中等题,保留原GPT裁定,中,中等题,拔高题,题干、解析与结构证据支持中等题：step=3-5步，题型=跨模块综合，状态=单状态，约束=单一约束，推理=多层因果推理。教师、盲评和多次模型证据中未形成足以推翻原裁定的同向结构证据。,未进入三次错题并集；逐题结构一致性复核,阅读短文，回答文后的问题。热阻当物体或物体的不同部分之间存在温度差时，就会发生热传递。传导是热传递的一种方式，物体对热量的传导有阻碍作用，称为热阻，用 $ R $ 表示。物体的热阻与物体在热传导方向上的长度 $ l $ 成正比、与横截面积 $ S $ 成反比，还与物体的材料有关，关系式为 $ R=\dfrac{l}{λS} $ ，式中λ称为材料的导热系数，不同材料的导热系数一般不同。房屋的墙壁为了保温，往往使用导热系数较小的材料。如果墙壁一侧是高温环境，温度始终为 $ t_1 $ ；另一侧是低温环境，温度始终为 $ t_2 $ ，墙壁中形成稳定的热量流动，则单位时间内从高温环境传导到低温环境的热量 $ Q $ 与墙壁两侧的温度差成正比，与墙壁的热阻成反比。,,,https://k12static.xdf.cn/k12/image/externalized/70388cd5-0ca2-4cf5-9331-7638573076c3.png,https://k12static.xdf.cn/k12/image/externalized/12ff3d91-0c12-48f1-bdd3-b7ec18f4d4c2.png,3-5步,跨模块综合,单状态,单一约束,无,无,多层因果推理
2139865472817008640,中等题,中等题,中等题,保留原GPT裁定,高,中等题,拔高题,题干、解析与结构证据支持中等题：step=3-5步，题型=实验探究，状态=双状态，约束=单一约束，推理=多层因果推理。教师、盲评和多次模型证据中未形成足以推翻原裁定的同向结构证据。,未进入三次错题并集；逐题结构一致性复核,受阿基米德辨别真假皇冠故事的启发，小明设计了一个测量碗的密度的探究实验，实验步骤及实验数据如图，则碗的密度为$(\qquad)$ ​​,A. $ 1.8{\rm g/cm^3}$ B. $ 2{\rm g/cm^3}$ C. $ 3{\rm g/cm^3}$ D. $3.2{\rm g/cm^3}$,由图甲知，水的体积 $V_1=500\ {\rm mL}$，由图丙知，碗和水的总体积 $V_3=530\ {\rm mL}$，碗的体积 $V=V_3-V_1=530\ {\rm mL}-500\ {\rm mL}=30\ {\rm mL}=30\ {\rm cm^3}$； 由图乙知，水与碗所排开水的总体积 $V_2=560\ {\rm mL}$，碗所排开水的体积 $ V_排=V_2-V_1=560\ {\rm mL}-500\ {\rm mL}=60\ {\rm mL}$，碗所排开水的质量 $ m_水=\rho_水V_排=1\ {\rm g/mL} \times 60\ {\rm mL}=60\ {\rm g} $； 碗漂浮在水面上时，碗受竖直向下的重力 $ G_碗=m_碗g $，竖直向上的浮力 $ F_浮═m_水g $，处于平衡状态，由平衡条件得：$ G_碗=F_浮 $，即：$ m_碗g=m_水g $，所以 $ m_碗=m_水=60\ {\rm g} $； 碗的密度 $ \rho_碗=\dfrac{m_碗}{V}=\dfrac{60\ {\rm g}}{30\ {\rm cm^3}}=2\ {\rm g/cm^3} $ 。,https://k12static.xdf.cn/k12/image/externalized/4ee4f488-0c44-4f1f-9d07-502d61e59307.png,https://k12static.xdf.cn/k12/image/externalized/d0fa2890-f389-4ba9-b9d3-bf904082a0cd.png,3-5步,实验探究,双状态,单一约束,无,直接读数,多层因果推理
2139890064407236608,送分题,送分题,送分题,保留原GPT裁定,高,基础题,送分题,题干、解析与结构证据支持送分题：step=1-2步，题型=概念判断，状态=单状态，约束=无约束，推理=直接套用。教师、盲评和多次模型证据中未形成足以推翻原裁定的同向结构证据。,未进入三次错题并集；逐题结构一致性复核,如图所示是常见物质的微观结构，其中最小的是 （填 $ABCD$，下同），一定带正电的是 ，正常情况下不带电的是 ．,,根据物质的组成、原子和原子核的结构，及其带电情况，解答此题． 物质由分子构成，分子由原子组成，原子又有带正电的原子核和带负电的电子构成，带正电的质子和不带电的中子组成原子核． 故答案为：$C$；$B$；${AD}$．,https://k12static.xdf.cn/k12/image/externalized/c462ff31-774d-4b1e-ad78-a46d0be10dcc.png,https://k12static.xdf.cn/k12/image/externalized/dded80ec-b062-400c-9a12-f5b8dfd6e899.png,1-2步,概念判断,单状态,无约束,无,无,直接套用
2139906770521395200,基础题,基础题,基础题,保留原GPT裁定,中,基础题,中等题,题干、解析与结构证据支持基础题：step=1-2步，题型=概念判断，状态=单状态，约束=无约束，推理=简单因果推理。教师、盲评和多次模型证据中未形成足以推翻原裁定的同向结构证据。,未进入三次错题并集；逐题结构一致性复核,如图所示，条形磁铁甲的 ${\rm N}$ 极吸住铁钉，将另一根完全相同的条形磁铁乙的 $A$ 端平移接触磁铁甲的 ${\rm N}$ 极，以下说法正确的是$(\qquad)$,A. 若 $A$ 是 ${\rm N}$ 极，则铁钉会掉下 B. 若 $A$ 是 ${\rm S}$ 极，则铁钉会掉下 C. 不论 $A$ 是 ${\rm N}$ 极或 ${\rm S}$ 极，铁钉都会掉下 D. 不论 $A$ 是 ${\rm N}$ 极或 ${\rm S}$ 极，铁钉都不会掉下,如果 $A$ 是 ${\rm N}$ 极，则相互靠近的两个磁极相互排斥，铁钉不会掉下，选项 A 错误； 如果 $A$ 是 ${\rm S}$ 极，则相互靠近的两个磁极相互吸引，成为一个新磁体，磁体中间部分磁性最弱，吸引能力最弱，因此铁钉会掉下，选项 B 正确，CD 错误．,https://k12static.xdf.cn/k12/image/externalized/40f3dfa9-e8c1-4f38-910b-ad37c0aa3508.png,https://k12static.xdf.cn/k12/image/externalized/3f2866ee-cd97-42fd-83e8-525281979674.png,1-2步,概念判断,单状态,无约束,无,无,简单因果推理
2141119270188036096,中等题,中等题,中等题,保留原GPT裁定,高,基础题,中等题,题干、解析与结构证据支持中等题：step=3-5步，题型=光学声学综合，状态=单状态，约束=无约束，推理=多层因果推理。教师、盲评和多次模型证据中未形成足以推翻原裁定的同向结构证据。,未进入三次错题并集；逐题结构一致性复核,如图所示，人眼在 $A$ 点看见河里 $B$ 点有一条小鱼，这是小鱼发生$(\qquad)$形成的像，若从 $A$ 点射出一束激光，要使激光能照射到小鱼，该激光应射向$(\qquad)$,A. 折射$\quad$虚$\quad B$ 点 B. 反射$\quad$虚$\quad B$ 点上方 C. 折射$\quad$虚$\quad B$ 点下方 D. 折射$\quad$虚$\quad B$ 点左方或右方,人眼在 $A$ 点看见河里 $B$ 点有一条小鱼，这是小鱼发生折射形成的虚像，连接 $AB$，过折射点做法线，根据光从空气斜射入水中，折射角小于入射角画出折射光线的位置，虽然人看到的 $B$ 点是鱼的虚像，鱼的实际位置在 $B$ 点的正下方，因为激光在进入水的时候也会发生折射，所以照着 $B$ 点，激光也就刚好落在鱼上了．如图所示： 故选 D,https://k12static.xdf.cn/k12/image/externalized/48f97d77-211b-440a-81dc-b7820aaa1a56.png,https://k12static.xdf.cn/k12/image/externalized/48eface0-6300-44fc-b627-c53e274731de.png,3-5步,光学声学综合,单状态,无约束,无,无,多层因果推理
2141136026113748992,基础题,基础题,基础题,保留原GPT裁定,高,基础题,送分题,题干、解析与结构证据支持基础题：step=1-2步，题型=概念判断，状态=双状态，约束=无约束，推理=简单因果推理。教师、盲评和多次模型证据中未形成足以推翻原裁定的同向结构证据。,未进入三次错题并集；逐题结构一致性复核,将同一长方体分别水平与竖直放置在水中，如图所示，它所受到的$(\qquad)$,A. 向上、向下压力差不等，浮力相等 B. 向上、向下压力差不等，浮力不等 C. 向上、向下压力差相等，浮力不等 D. 向上、向下压力差相等，浮力相等,长方体物块悬浮在水中，说明受到水的浮力不变，而浮力等于物体上下表面受到水的压力差，所以长方体物块上下表面受到水的压力差相等． 故选 D,https://k12static.xdf.cn/k12/image/externalized/06406bae-0ded-4bea-85f4-389f8c215172.png,https://k12static.xdf.cn/k12/image/externalized/2dbfa102-8d6d-4b19-8836-2addfceb6234.png,1-2步,概念判断,双状态,无约束,无,无,简单因果推理
