题目ID,最终裁定档,裁定置信度,教师标准档,裁定结果,裁定方式,具体裁定原因,教师分析疑点
2677632769440202752,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为力学综合、含单一约束、推理为简单因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2602711736440098816,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、实验要求达到“控制变量或故障分析”、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2713375508241883136,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：独立盲评与三次模型中有3/4支持基础题。,
3463085103651799040,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、涉及多状态、含单一约束、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2318614123985788928,中等题,高,基础题,基础题→中等题,改高,原标偏低。最长有效链为1-2步、题型为电路综合、含单一约束、图表要求达到“直接读数”、推理为简单因果推理；实际任务已超过基础题所允许的直接识别/显性应用范围，裁定为中等题。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
2580860022081036288,中等题,高,拔高题,拔高题→中等题,改低,原标偏高。最长有效链为3-5步、题型为图像表格分析、涉及双状态、图表要求达到“多组比较归纳”、推理为多层因果推理；未出现分类讨论、临界/极值、边界筛选或多状态多约束全链耦合，裁定为中等题。 复核证据：独立盲评与三次模型中有4/4支持中等题。,
3673088780818554880,送分题,高,基础题,基础题→送分题,改低,原标偏高。最长有效链为1-2步、题型为概念判断、推理为直接套用；未出现新的状态建立、数据归纳或连续模型转换，裁定为送分题。 复核证据：独立盲评与三次模型中有4/4支持送分题。,
2629570563668725760,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2883446683577978880,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为多层因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2829528587809890304,基础题,中,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：各独立判断分裂，先取五方中位档；低结构概念题按基础封顶。,
2773166671457259521,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3061392439711125504,送分题,中,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为直接套用，与送分题边界一致。 复核证据：各独立判断分裂，先取五方中位档；低结构概念题按基础封顶。,
2505127799622778880,中等题,高,基础题,基础题→中等题,改高,原标偏低。最长有效链为3-5步、题型为力学综合、含单一约束、推理为多层因果推理；实际任务已超过基础题所允许的直接识别/显性应用范围，裁定为中等题。 复核证据：独立盲评与三次模型中有4/4支持中等题。,
3556155667432656896,压轴题,高,压轴题,一致,保留教师标,保留原标。最长有效链为6-8步、题型为跨模块综合、涉及双状态、含多约束、图表要求达到“图像反推或外推”、推理为逆向推理或临界分析，与压轴题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2850098307042742272,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：独立盲评与三次模型中有3/4支持基础题。,
2951658218704093184,基础题,高,中等题,中等题→基础题,改低,原标偏高。最长有效链为1-2步、题型为概念判断、推理为简单因果推理；未出现决定性反推、隐含模型、联合约束或约5—6步迁移链，裁定为基础题。 复核证据：独立盲评与三次模型中有4/4支持基础题。,
2624547325777068032,基础题,高,送分题,送分题→基础题,改高,原标偏低。最长有效链为1-2步、题型为概念判断、含单一约束、推理为简单因果推理；实际任务已超过送分题所允许的直接识别/显性应用范围，裁定为基础题。 复核证据：独立盲评与三次模型中有4/4支持基础题。,
2776242701248610304,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为实验探究、实验要求达到“控制变量或故障分析”、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2780200883213844480,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与送分题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。 教师分析疑点：教师分析称单一知识点，但实际包含多个独立判断任务。,教师分析称单一知识点，但实际包含多个独立判断任务
2406280943653126144,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2928194805791559680,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为实验探究、含单一约束、实验要求达到“控制变量或故障分析”、图表要求达到“多组比较归纳”、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
2993320549792632832,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为直接计算、推理为直接套用，与送分题边界一致。 复核证据：独立盲评与三次模型中有3/4支持送分题。,
3659089371557019648,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电路综合、含单一约束、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3673792458882355200,拔高题,高,压轴题,压轴题→拔高题,改低,原标偏高。最长有效链为3-5步、题型为力学综合、涉及双状态、含单一约束、图表要求达到“多组比较归纳”、推理为多层因果推理；未出现，裁定为拔高题。 复核证据：独立盲评与三次模型中有3/4支持拔高题。,
2697814890686984192,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、涉及双状态、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2312923579879051264,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为实验探究、实验要求达到“控制变量或故障分析”、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2494933301115256832,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、涉及双状态、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。 教师分析疑点：教师分析称无运算，但官方解析包含计算或公式。,教师分析称无运算，但官方解析包含计算或公式
2265602573808197632,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为实验探究、涉及双状态、含单一约束、实验要求达到“方案设计或误差评价”、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2748423881675370496,基础题,高,送分题,送分题→基础题,人工复核,包含能源、冲程、做功次数及效率关系的多个基础判断和一步换算，超过送分但未形成中等连续分析。,
2961803657007108096,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电路综合、涉及双状态、含单一约束、图表要求达到“直接读数”、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
3226566664426684416,压轴题,高,压轴题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为跨模块综合、含单一约束、实验要求达到“方案设计或误差评价”、图表要求达到“图像反推或外推”、推理为多层因果推理，与压轴题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2840048869885370368,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2917062695357878272,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3678666616429715456,中等题,高,基础题,基础题→中等题,改高,原标偏低。最长有效链为3-5步、题型为力学综合、含单一约束、推理为多层因果推理；实际任务已超过基础题所允许的直接识别/显性应用范围，裁定为中等题。 复核证据：独立盲评与三次模型中有4/4支持中等题。,
2991224506263293952,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为光学声学综合、涉及双状态、图表要求达到“直接读数”、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2532606065465114624,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为直接套用，与送分题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2354294166169890816,基础题,高,基础题,一致,人工复核,标准大气压与74 cm水银柱作一次压强差，模型完全显性；教师基础合理，我原判拔高过高。,
2804244390839623680,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、含单一约束、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
2564457131352829952,中等题,高,基础题,基础题→中等题,改高,原标偏低。最长有效链为3-5步、题型为概念判断、涉及双状态、含单一约束、推理为多层因果推理；实际任务已超过基础题所允许的直接识别/显性应用范围，裁定为中等题。 复核证据：独立盲评与三次模型中有4/4支持中等题。,
3022275220176130048,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2763157046213316608,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为实验探究、含单一约束、实验要求达到“控制变量或故障分析”、图表要求达到“多组比较归纳”、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
3277711317789675520,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为力学综合、涉及双状态、含单一约束、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2747070319289192448,中等题,高,基础题,基础题→中等题,改高,原标偏低。最长有效链为3-5步、题型为概念判断、涉及双状态、含单一约束、推理为多层因果推理；实际任务已超过基础题所允许的直接识别/显性应用范围，裁定为中等题。 复核证据：独立盲评与三次模型中有4/4支持中等题。,
3650594447513989120,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为实验探究、含单一约束、实验要求达到“方案设计或误差评价”、图表要求达到“直接读数”、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2595083767651536896,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3032629189525671936,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。 教师分析疑点：教师分析称无运算，但官方解析包含计算或公式。,教师分析称无运算，但官方解析包含计算或公式
2284836722446974976,压轴题,高,压轴题,一致,保留教师标,保留原标。最长有效链为6-8步、题型为力学综合、涉及多状态、含多约束、推理为多层因果推理，与压轴题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2843099243587051520,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为力学综合、涉及多状态、含单一约束、图表要求达到“直接读数”、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2902097714229288960,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为实验探究、涉及多状态、实验要求达到“控制变量或故障分析”、图表要求达到“多组比较归纳”、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
3572004624985788416,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、涉及多状态、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2308336148731187200,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为力学综合、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2929286769553530880,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、推理为多层因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。 教师分析疑点：教师分析称无运算，但官方解析包含计算或公式。,教师分析称无运算，但官方解析包含计算或公式
2139846582388686848,基础题,高,送分题,送分题→基础题,人工复核,需按三个明确连接条件完成实物图和电路图转换，属于规范基础操作，不应送分也未达到中等。 教师分析疑点：教师分析称单一知识点，但实际包含多个独立判断任务。,教师分析称单一知识点，但实际包含多个独立判断任务
2558509707486060544,中等题,高,基础题,基础题→中等题,改高,原标偏低。最长有效链为3-5步、题型为力学综合、含单一约束、推理为多层因果推理；实际任务已超过基础题所允许的直接识别/显性应用范围，裁定为中等题。 复核证据：独立盲评与三次模型中有4/4支持中等题。 教师分析疑点：教师分析称无运算，但官方解析包含计算或公式。,教师分析称无运算，但官方解析包含计算或公式
3075268497727848448,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与送分题边界一致。 复核证据：独立盲评与三次模型中有4/4支持基础题；题目仅调用一个唯一熟悉模板，教师送分可接受。,
3659089282906210304,基础题,中,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：各独立判断分裂，先取五方中位档；低结构概念题按基础封顶。,
2660185943896580096,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2242799707082452992,基础题,中,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：各独立判断分裂，先取五方中位档；低结构概念题按基础封顶。,
3650594339203928064,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2749706662995136512,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3659088681543680000,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电路综合、涉及双状态、含单一约束、图表要求达到“直接读数”、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3064610955363155968,基础题,中,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：各独立判断分裂，先取五方中位档。,
2139859697547743232,中等题,中,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为跨模块综合、含单一约束、推理为多层因果推理，与中等题边界一致。 复核证据：各独立判断分裂，先取五方中位档。,
2496344549877612544,中等题,高,基础题,基础题→中等题,改高,原标偏低。最长有效链为3-5步、题型为概念判断、含单一约束、推理为多层因果推理；实际任务已超过基础题所允许的直接识别/显性应用范围，裁定为中等题。 复核证据：独立盲评与三次模型中有4/4支持中等题。,
3003434880719716352,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、涉及双状态、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3659088626245976064,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为光学声学综合、涉及双状态、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2528036310928605184,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2589528265976807424,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2601086228621471744,送分题,中,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与送分题边界一致。 复核证据：独立盲评与三次模型中有3/4支持基础题；题目仅调用一个唯一熟悉模板，教师送分可接受。,
2758498114243948544,基础题,中,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、涉及双状态、推理为简单因果推理，与基础题边界一致。 复核证据：各独立判断分裂，先取五方中位档。,
2722490747940614144,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、实验要求达到“控制变量或故障分析”、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3086996422300635136,中等题,高,基础题,基础题→中等题,改高,原标偏低。最长有效链为3-5步、题型为力学综合、含单一约束、推理为多层因果推理；实际任务已超过基础题所允许的直接识别/显性应用范围，裁定为中等题。 复核证据：独立盲评与三次模型中有4/4支持中等题。,
2488000956399161344,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、涉及双状态、含单一约束、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。 教师分析疑点：教师分析称无运算，但官方解析包含计算或公式。,教师分析称无运算，但官方解析包含计算或公式
2781769423108984832,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
2709197648371159040,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3650594667751890944,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2790394504542228480,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为电学综合、推理为简单因果推理，与基础题边界一致。 复核证据：独立盲评与三次模型中有3/4支持基础题。,
2245339881012928512,基础题,高,中等题,中等题→基础题,改低,原标偏高。最长有效链为1-2步、题型为概念判断、推理为简单因果推理；未出现决定性反推、隐含模型、联合约束或约5—6步迁移链，裁定为基础题。 复核证据：独立盲评与三次模型中有4/4支持基础题。,
2857543663990099968,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为实验探究、涉及双状态、实验要求达到“控制变量或故障分析”、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2381964662237343744,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3044772207889854464,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、图表要求达到“多组比较归纳”、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2768518130512191488,中等题,高,拔高题,拔高题→中等题,改低,原标偏高。最长有效链为1-2步、题型为实验探究、实验要求达到“控制变量或故障分析”、图表要求达到“多组比较归纳”、推理为多层因果推理；未出现分类讨论、临界/极值、边界筛选或多状态多约束全链耦合，裁定为中等题。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
3676865996118925312,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为实验探究、涉及双状态、实验要求达到“控制变量或故障分析”、图表要求达到“多组比较归纳”、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
3086302174995648512,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：独立盲评与三次模型中有3/4支持基础题。,
2448657553976307712,拔高题,高,压轴题,压轴题→拔高题,改低,原标偏高。最长有效链为3-5步、题型为光学声学综合、涉及多状态、推理为多层因果推理；未出现，裁定为拔高题。 复核证据：独立盲评与三次模型中有3/4支持拔高题。,
3672255661403885568,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为力学综合、含单一约束、推理为多层因果推理，与中等题边界一致。 复核证据：独立盲评与三次模型中有3/4支持中等题。,
2984531146988597248,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、涉及双状态、含单一约束、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2892517851348377600,基础题,中,中等题,中等题→基础题,改低,原标偏高。最长有效链为3-5步、题型为概念判断、含单一约束、推理为多层因果推理；未出现决定性反推、隐含模型、联合约束或约5—6步迁移链，裁定为基础题。 复核证据：各独立判断分裂，先取五方中位档；教师分析与官方解析存在明确矛盾，改采独立共识。 教师分析疑点：教师分析称无运算，但官方解析包含计算或公式。,教师分析称无运算，但官方解析包含计算或公式
2897764120245346304,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、涉及双状态、含单一约束、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3625473100589350912,压轴题,高,压轴题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电路综合、涉及多状态、含单一约束、图表要求达到“直接读数”、推理为多层因果推理，与压轴题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2746966062093844480,拔高题,高,拔高题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为电学综合、涉及双状态、含单一约束、推理为多层因果推理，与拔高题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3678668549278158848,中等题,高,基础题,基础题→中等题,人工复核,完整液体压强实验涉及控制变量、装置调节、现象解释和应用，教师基础计步过低，但结构仍属标准实验。,
3553150149832237056,中等题,高,基础题,基础题→中等题,改高,原标偏低。最长有效链为3-5步、题型为跨模块综合、推理为多层因果推理；实际任务已超过基础题所允许的直接识别/显性应用范围，裁定为中等题。 复核证据：独立盲评与三次模型中有4/4支持中等题。,
2823802518469910528,基础题,中,送分题,送分题→基础题,改高,原标偏低。最长有效链为1-2步、题型为概念判断、推理为简单因果推理；实际任务已超过送分题所允许的直接识别/显性应用范围，裁定为基础题。 复核证据：各独立判断分裂，先取五方中位档。 教师分析疑点：教师分析称无运算，但官方解析包含计算或公式；教师分析称单一知识点，但实际包含多个独立判断任务。,教师分析称无运算，但官方解析包含计算或公式；教师分析称单一知识点，但实际包含多个独立判断任务
2615719444680331264,基础题,高,中等题,中等题→基础题,改低,原标偏高。最长有效链为1-2步、题型为概念判断、推理为简单因果推理；未出现决定性反推、隐含模型、联合约束或约5—6步迁移链，裁定为基础题。 复核证据：独立盲评与三次模型中有3/4支持基础题。,
3050367363929878528,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2289150548123361280,基础题,高,送分题,送分题→基础题,人工复核,足球情境下四项均为力与运动基本规律的显性应用，教师送分偏低，我原判中等偏高。,
2891991290604695552,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
2381963935786307584,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为概念判断、涉及双状态、含单一约束、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3000869599914250240,基础题,中,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：各独立判断分裂，先取五方中位档。,
2578919297101701120,中等题,高,中等题,一致,保留教师标,保留原标。最长有效链为3-5步、题型为图像表格分析、涉及双状态、含单一约束、图表要求达到“图像反推或外推”、推理为多层因果推理，与中等题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3089339566856085504,送分题,高,送分题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为直接套用，与送分题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。,
3661845322188197888,基础题,高,基础题,一致,保留教师标,保留原标。最长有效链为1-2步、题型为概念判断、推理为简单因果推理，与基础题边界一致。 复核证据：教师标签与独立盲评一致；三次模型运行使用相近提示词，仅作为辅助证据，不足以推翻两者一致结论。。 教师分析疑点：教师分析称单一知识点，但实际包含多个独立判断任务。,教师分析称单一知识点，但实际包含多个独立判断任务
